id,Hacked application,Have you succeeded in attacking the application?,Total time in minutes spent for the task,I spent the following time in minutes using a IDE:,I spent the following time in minutes using a debugger:,I spent the following time in minutes searching on the Internet:,The task was clear to me,There was enough time to perform the task,The task was easy to perform,I have used the following IDE:,I have used the following debugger:,I have spent most of the time:,assigned,edited by,discarded,Have you succeeded in attacking the application?.1,Step 1: type,"Step 1: asset name (function, variable, etc)",Step 2: type,"Step 2: asset name (function, variable, etc)",Step 3: type,"Step 3: asset name (function, variable, etc)",Step 4: type,"Step 4: asset name (function, variable, etc)",Step 5: type,"Step 5: asset name (function, variable, etc)",Step 6: type,"Step 6: asset name (function, variable, etc)",Step 7: type,"Step 7: asset name (function, variable, etc)",Step 8: type,"Step 8: asset name (function, variable, etc)",Step 9: type,"Step 9: asset name (function, variable, etc)",Step 10: type,"Step 10: asset name (function, variable, etc)",Step 11: type,"Step 11: asset name (function, variable, etc)",Step 12: type,"Step 12: asset name (function, variable, etc)",Step 13: type,"Step 13: asset name (function, variable, etc)",Step 14: type,"Step 14: asset name (function, variable, etc)",Step 15: type,"Step 15: asset name (function, variable, etc)",Step 16: type,"Step 16: asset name (function, variable, etc)",Step 17: type,"Step 17: asset name (function, variable, etc)",Step 18: type,"Step 18: asset name (function, variable, etc)",Step 19: type,"Step 19: asset name (function, variable, etc)",Step 20: type,"Step 20: asset name (function, variable, etc)"
144,arithmetic-1.1.zip,No,40,10,26,4,4,4,3,,GDB,Inspecting the execution by means of the debugger,LM,LM,Yes,No,understand code logic,,identify output generation,problem(),make hypothesis,problem(),make hypothesis,result,make hypothesis,temp___2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,tictactoe-1.1.zip,Yes,40,10,30,0,3,2,3,,gdb,Reading and understanding the source code,LM,LM,Yes,Yes,prepare the environment,,understand code logic,,make hypothesis,get_player_move,confirm hypothesis,matrix,make hypothesis,get_computer_move,confirm hypothesis,,limit scope of attack,check,,,,,,,,,,,,,,,,,,,,,,,,,,
73,arithmetic-1.1.zip,No,40,15,25,0,2,3,4,Code::Blocks,gdb,Inspecting the execution by means of the debugger,LM,LM,Yes,No,make hypothesis on protection,,understand code logic,,symbolic execution / SMT solving,,identify API calls,,build the attack strategy,,make hypothesis,,recognize anomalous / unexpected behavior,,identify points of attack,,,,,,,,,,,,,,,,,,,,,,,,,
69,tictactoe-1.1.zip,Yes,40,15,25,0,3,4,2,codeblocks,si,Inspecting the execution by means of the debugger,LM,LM,Yes,Yes,choose path of least resistance,check() ,confirm hypothesis,**matrix,evaluate and select alternative step / revise attack strategy,check(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,number-1.1.zip,Yes,28,2,26,0,1,1,2,Jetbrians CLion,GDB from IDE,Inspecting the execution by means of the debugger,AS,AS,,Yes,recognize anomalous / unexpected behavior,entire application,control flow graph reconstruction,entire application,understand code logic,number function - switch case 1,identify points of attack,number function - switch case 1,tamper with code statically,number function - switch case 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,arithmetic-1.1.zip,No,40,8,32,0,1,3,4,CLion,CLion debugger,Inspecting the execution by means of the debugger,AS,AS,,No,prepare the environment,arithmetic.c,recognize anomalous / unexpected behavior,entire application,understand code logic,entire application,control flow graph reconstruction,entire application,tamper with code statically,modified line 269 of arithmetic.c: erased !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,number-1.1.zip,No,40,15,20,5,1,3,3,Visual Studio Code,lldb,Inspecting the execution by means of the debugger,AS,AS,,No,control flow graph reconstruction,entire application,make hypothesis,,understand code logic,,make hypothesis,,limit scope of attack,,understand code logic,convert function,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,number-1.1.zip,Yes,40,15,25,0,1,3,3,dev-c++,gdb,Changing the execution by means of the debugger,AS,AS,,Yes,understand code logic,entire application,prepare the environment,,build the attack strategy,,identify points of attack,function number(...),tamper with code statically,"function number(char const *p, int len), variable *p",analyse attack result,,overcome protection,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,number-1.1.zip,Yes,18,5,13,0,1,1,3,CLion,GDB,Inspecting the execution by means of the debugger,AS,AS,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,"int number(char const *p, int len)",build the attack strategy,"int number(char const *p, int len)",tamper with code statically,*p,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,tictactoe-1.1.zip,Yes,30,15,15,0,1,1,3,Code::Blocks,GDB (integrato nell'IDE),Inspecting the execution by means of the debugger,AS,AS,,Yes,understand code logic,entire application,build the attack strategy,,identify points of attack,check(void),recognize anomalous / unexpected behavior,check(void),control flow graph reconstruction,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,tictactoe-1.1.zip,No,40,35,5,0,1,3,2,Visual Studio 2017,Visual Studio 2017,Reading and understanding the source code,AS,AS,,No,recognize anomalous / unexpected behavior,entire application,limit scope of attack,entire application,make hypothesis,check,understand code logic,,confirm hypothesis,check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,arithmetic-1.1.zip,No,40,10,25,5,1,4,2,clion,clion debugger,Inspecting the execution by means of the debugger,AS,AS,,No,prepare the environment,,control flow graph reconstruction,problem(),understand code logic,,identify output generation,problem(),make hypothesis,penalise(),control flow reconstruction,getrandom(),,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,number-1.1.zip,Yes,20,10,10,0,1,1,2,CLion,GDB,Inspecting the execution by means of the debugger,AS,AS,,Yes,recognize anomalous / unexpected behavior,Console output,understand code logic,"int number(char const *p, int len)",identify points of attack,,tamper with data,name1,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,number-1.1.zip,No,40,15,15,10,3,2,2,visual studiocode,gdb,Inspecting the execution by means of the debugger,AS,AS,,No,recognize anomalous / unexpected behavior,number,make hypothesis,encoder,understand code logic,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,number-1.1.zip,No,40,10,0,30,1,3,3,"Visual Studio 2015. ho avuto problemi nell'import dei file .c, .h e non sono riuscita a compilare il programma fino a 10 minuti prima della scadenza, dopo aver chiesto aiuto agli assistenti","Visual Studio 2015. ho avuto problemi nell'import dei file .c, .h e non sono riuscita a compilare il programma fino a 10 minuti prima della scadenza, dopo aver chiesto aiuto agli assistenti",Reading and understanding the source code,AS,AS,,No,prepare the environment,,understand code logic,entire application,understand code logic,main,identify output generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,number-1.1.zip,Yes,35,15,20,0,1,2,2,CLion,CLion Debugger,Inspecting the execution by means of the debugger,AS,AS,,Yes,understand code logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,arithmetic-1.1.zip,No,40,5,30,5,3,2,2,CLion,CMake,Inspecting the execution by means of the debugger,AS,AS,,No,control flow graph reconstruction,main ,understand code logic,,identify points of attack,,choose path of least resistance,getrandom e penalize functions,build the attack strategy,main e subfunctions,tamper with code statically,main,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,arithmetic-1.1.zip,Yes,40,15,25,0,1,5,4,Clion,gdb,Inspecting the execution by means of the debugger,AS,AS,,Yes,prepare the environment,clion ide debugger config,understand code logic,problem(),tamper with code statically,problem(),tamper with execution,problem(),make hypothesis on reasons for attack failure,result and tmp___3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,number-1.1.zip,No,40,15,20,5,2,3,4,Clion,cygwin,Inspecting the execution by means of the debugger,AS,AS,,No,understand code logic,char *tmp___0;,tamper with code statically,"fgets((char *) (line),(int) sizeof(line), (FILE *) stdin);",make hypothesis,"fgets((char *) (line),(int) sizeof(line), (FILE *) stdin);",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,arithmetic-1.1.zip,Yes,40,15,25,0,4,4,3,clion,clion debug,Inspecting the execution by means of the debugger,AS,AS,,Yes,recognize anomalous / unexpected behavior,,control flow graph reconstruction,main,understand code logic,problem(),identify assets by naming scheme,result,identify points of attack,tmp___3,tamper with data,result,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,number-1.1.zip,No,25,15,5,5,4,2,2, vs code,vs code,Reading and understanding the source code,AS,AS,,No,control flow graph reconstruction,convert,tamper with code statically,line,identify assets by naming scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,arithmetic-1.1.zip,No,40,10,30,0,2,4,4,CLion,LLDB,Inspecting the execution by means of the debugger,AL,AL,,No,understand code logic,Output of the code by running and testing,limit scope of attack,Function name: problem,understand code logic,function name: Problem ,recognize anomalous / unexpected behavior,"function name: problem, penalise",confirm hypothesis,function name: problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,arithmetic-1.1.zip,No,40,30,10,0,1,3,3,CLion,gdb,Inspecting the execution by means of the debugger,AL,AL,,No,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,main,tamper with data,line,analyse attack result,,tamper with execution,problem,analyse attack result,,identify output generation,,build the attack strategy,,identify points of attack,,limit scope of attack,problem,,,,,,,,,,,,,,,,,,
151,tictactoe-1.1.zip,Yes,35,10,20,5,5,4,4,Codeblocks,gdb,Inspecting the execution by means of the debugger,AL,AL,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,identify points of attack,check,tamper with code statically,check,analyse attack result,,tamper with code statically,check,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,arithmetic-1.1.zip,Yes,30,3,27,0,1,2,3,CLion,GDB,Inspecting the execution by means of the debugger,AL,AL,,Yes,prepare the environment,,identify output generation,,limit scope of attack,problem,make hypothesis,,recognize anomalous / unexpected behavior,,understand code logic,,tamper with code statically,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,
23,tictactoe-1.1.zip,No,25,20,5,0,2,1,1,XCode,XCode (the debugger is included in the IDE),Reading and understanding the source code,AL,AL,,No,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,,identify output generation,,tamper with code statically,check(void),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,number-1.1.zip,No,40,15,20,5,1,3,3,CodeBlocks,GDB,Changing the execution by means of the debugger,AL,AL,,No,recognize anomalous / unexpected behavior,In this step I identify the bug of the program,understand code logic,,identify points of attack,,tamper with code statically,,make hypothesis on reasons for attack failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,arithmetic-1.1.zip,No,40,18,20,2,1,4,4,xcode,debug integrato in xcode,Inspecting the execution by means of the debugger,AL,AL,,No,recognize anomalous / unexpected behavior,,control flow graph reconstruction,matrix,make hypothesis,,limit scope of attack,check function,understand code logic,,make hypothesis,matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,tictactoe-1.1.zip,Yes,20,15,5,0,1,1,2,CLion 2019.1.4,CLion 2019.1.4,Inspecting the execution by means of the debugger,AL,AL,,Yes,identify output generation,,control flow graph reconstruction,,recognize anomalous / unexpected behavior,,understand code logic,,identify point of attack,matrix[i][i],confirm hypothesis,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
84,number-1.1.zip,Yes,40,19,19,2,3,2,2,Intellij Clion,GDB,Inspecting the execution by means of the debugger,AL,AL,,Yes,prepare the environment,,understand code logic,,recognize anomalous / unexpected behavior,main(...),limit scope of attack,"number(), len",tamper with code statically,"number() , name1[]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,number-1.1.zip,No,40,10,25,5,1,2,3,CLion,Bundled GDB,Inspecting the execution by means of the debugger,AL,AL,,No,understand code logic,convert,understand code logic,line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,number-1.1.zip,No,40,25,15,0,1,3,4,Codeblocks,GDB,Changing the execution by means of the debugger,AL,AL,,No,understand code logic,encodeStrings_litStr84,identify points of attack,,make hypothesis,,bypass protection,,reuse attack strategy that worked in the past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,arithmetic-1.1.zip,Yes,40,0,40,0,1,3,3,CLION,clion debug ,Inspecting the execution by means of the debugger,AL,AL,,Yes,prepare the environment,,build the attack strategy,main() and problem(void),control flow graph reconstruction,,tamper with data,"variable: left, right, result",identify output generation,operation output,evaluate and select alternative step / revise attack strategy,,make hypothesis on reasons for attack failure,result variable ,understand code logic,,identify points of attack,if condition,tamper with code statically,if condition,analyse attack result,,,,,,,,,,,,,,,,,,,
41,tictactoe-1.1.zip,Yes,20,10,10,0,1,1,1,CodeBlocks,gdb,Reading and understanding the source code,AL,AL,,Yes,prepare the environment,,build the attack strategy,,understand code logic,,recognize anomalous / unexpected behavior,,tamper with code statically,return values of the function check,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,arithmetic-1.1.zip,Yes,40,20,20,0,2,2,1,,GDB,Inspecting the execution by means of the debugger,AD,AD,,Yes,recognize anomalous / unexpected behavior,problem,understand code logic,problem,make hypothesis,,confirm hypothesis,problem,make hypothesis on reasons for attack failure,problem,identify points of attack,nright,confirm hypothesis,nright,tamper with code statically,problem,,analyse attack result,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,
67,tictactoe-1.1.zip,Yes,20,14,6,0,1,1,1,Xcode,Xcode default (gdb),Inspecting the execution by means of the debugger,AD,AD,,Yes,recognize anomalous / unexpected behavior,,make hypothesis,get_computer_move();,tamper with code statically,,confirm hypothesis,"	    encoder(3, encodeStrings_litStr3); 	    printf((char const *) (encodeStrings_litStr3)); //        printf(""Cheating\n""); 	    exit(0);",make hypothesis on reasons for attack failure,check(void),identify points of attack,//			tmp = (char) 'O'; //			matrix[i][0] = tmp; //			return (tmp);,tamper with code statically,,analyse attack result,//			tmp = (char) 'O'; //			matrix[i][0] = tmp; //			return (tmp);,,,,,,,,,,,,,,,,,,,,,,,,
40,tictactoe-1.1.zip,Yes,25,10,15,0,1,4,4,DEV-C++,TDM-GCC 4.9.2,Inspecting the execution by means of the debugger,AD,AD,,Yes,recognize anomalous / unexpected behavior,"I identify, in which situation the application generates the unexpected result",control flow graph reconstruction,identify the precedence of the functions,identify points of attack,I identify in which function the code was broken,tamper with code statically,comment the lines of the check function which change the matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,arithmetic-1.1.zip,Yes,20,13,7,0,1,1,1,Visual Studio Code,GDB,Reading and understanding the source code,AD,AD,,Yes,identify output generation,"main(), problem() (functions)",understand code logic,problem(),tamper with code statically,"p, tmp___3, result (variables)",analyse attack result,Only output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,number-1.1.zip,Yes,40,5,35,0,1,2,4,Codeblocks,Codeblocks,Inspecting the execution by means of the debugger,AD,AD,,Yes,understand code logic,number.c,control flow graph reconstruction,number.c,identify API calls,the printf functions,identify output generation,number function,limit scope of attack,number function,recognize anomalous / unexpected behavior,recognize the error,tamper with data,in main,,,,,,,,,,,,,,,,,,,,,,,,,,
103,number-1.1.zip,No,40,15,20,5,2,4,3,codeblocks,gdb,Inspecting the execution by means of the debugger,AD,AD,,No,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,,identify output generation,,limit scope of attack,main,limit scope of attack,convert,control flow graph reconstruction,main,control flow graph reconstruction,convert,make hypothesis,convert,,,,,,,,,,,,,,,,,,,,,,
111,tictactoe-1.1.zip,Yes,20,10,10,0,1,1,1,Clion,,Reading and understanding the source code,AD,AD,,Yes,recognize anomalous / unexpected behavior,,make hypothesis,,limit scope of attack,char check(void),confirm hypothesis,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,arithmetic-1.1.zip,Yes,25,10,15,0,1,1,2,CodeBlocks,CodeBlocks,Inspecting the execution by means of the debugger,AD,AD,,Yes,understand code logic,,recognize anomalous / unexpected behavior,response,tamper with code statically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,tictactoe-1.1.zip,No,40,10,25,5,2,5,5,Xcode,lldb,Changing the execution by means of the debugger,AD,AD,,No,understand code logic,get_player_move,recognize anomalous / unexpected behavior,"x,y",tamper with code statically,get_player_move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,number-1.1.zip,Yes,30,4,25,1,4,4,3,Codeblocks,gdb,Inspecting the execution by means of the debugger,AD,AD,,Yes,recognize anomalous / unexpected behavior,,make hypothesis,,understand code logic,convert(line) -- line 315,understand code logic,,tamper with code statically,,confirm hypothesis,printf(),,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,arithmetic-1.1.zip,Yes,30,15,15,0,4,4,3,CodeBlocks,GDB through CodeBlocks IDE,Inspecting the execution by means of the debugger,AD,AD,,Yes,prepare the environment,,understand code logic,"problem() , tmp__n , result, left and right",limit scope of attack,problem(),build the attack strategy,,tamper with code statically,,make hypothesis on reasons for attack failure,,recognize anomalous / unexpected behavior,,identify points of attack,"tmp___3, result",tamper with code statically,problem(),analyse attack result,,,,,,,,,,,,,,,,,,,,,
74,arithmetic-1.1.zip,Yes,35,15,20,0,4,5,4,cLion,LLDB 9.0,Inspecting the execution by means of the debugger,AD,AD,,Yes,understand code logic,encoder,make hypothesis,((unsigned int) result & 4039822362U)),confirm hypothesis,tmp___3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,number-1.1.zip,No,40,5,35,0,1,4,5,Codeblocks,Integrated Codeblocks debugger,Inspecting the execution by means of the debugger,AD,AD,,No,recognize anomalous / unexpected behavior,,limit scope of attack,unit (funzione),evaluate and select alternative step / revise attack strategy,convert,limit scope of attack,,tamper with code statically,"funzione : convert , variabile : p ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,number-1.1.zip,No,40,35,0,5,1,2,4,CLion,0,Reading and understanding the source code,AM,AM,,No,recognize anomalous / unexpected behavior,stdout,limit scope of attack,convert(),understand code logic,convert(),make hypothesis,p,tamper with code statically,convert(),analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,tictactoe-1.1.zip,Yes,35,10,25,0,1,1,1,CodeBlocks,,Changing the execution by means of the debugger,AM,AM,,Yes,understand code logic,,recognize anomalous / unexpected behavior,,make hypothesis,check(),understand code logic,check(),tamper with code statically,,analyse attack result,,confirm hypothesis,check(),,,,,,,,,,,,,,,,,,,,,,,,,,
