id,Hacked application,Total time in minutes spent for the task,I spent the following time in minutes using a IDE:,I spent the following time in minutes using a debugger:,I spent the following time in minutes searching on the Internet:,The task was clear to me,There was enough time to perform the task,The task was easy to perform,I have used the following IDE:,I have used the following debugger:,I have spent most of the time:,assigned,edited by,discarded,Have you succeeded in attacking the application?,Step 1: type,"Step 1: asset name (function, variable, etc)",Step 2: type,"Step 2: asset name (function, variable, etc)",Step 3: type,"Step 3: asset name (function, variable, etc)",Step 4: type,"Step 4: asset name (function, variable, etc)",Step 5: type,"Step 5: asset name (function, variable, etc)",Step 6: type,"Step 6: asset name (function, variable, etc)",Step 7: type,"Step 7: asset name (function, variable, etc)",Step 8: type,"Step 8: asset name (function, variable, etc)",Step 9: type,"Step 9: asset name (function, variable, etc)",Step 10: type,"Step 10: asset name (function, variable, etc)",Step 11: type,"Step 11: asset name (function, variable, etc)",Step 12: type,"Step 12: asset name (function, variable, etc)",Step 13: type,"Step 13: asset name (function, variable, etc)",Step 14: type,"Step 14: asset name (function, variable, etc)",Step 15: type,"Step 15: asset name (function, variable, etc)",Step 16: type,"Step 16: asset name (function, variable, etc)",Step 17: type,"Step 17: asset name (function, variable, etc)",Step 18: type,"Step 18: asset name (function, variable, etc)",Step 19: type,"Step 19: asset name (function, variable, etc)",Step 20: type,"Step 20: asset name (function, variable, etc)"
49,tictactoe-3.4.zip,70,10,60,0,5,5,4,VisualStudio2015,LocalWindowsDebugger,Reading and understanding the source code,AS,AS,,No,recognize anomalous / unexpected behavior,,build the attack strategy,,identify points of attack,,choose path of least resistance,,choose/evaluate alternative tool,,recognize anomalous / unexpected behavior,,control flow graph reconstruction,,defeat protection,,identify API calls,,identify output generation,,identify points of attack,,make hypothesis on protection,,make hypothesis on reasons for attack failure,,,,,,,,,,,,,,,
104,arithmetic-3.2.zip,40,10,25,5,1,1,3,Clion,cygwin,Inspecting the execution by means of the debugger,AS,AS,,Yes,understand code logic,int main(),control flow graph reconstruction,int problem(void),recognize anomalous / unexpected behavior,,identify points of attack,,tamper with code statically,int problem(void),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,number-3.2.zip,60,10,50,0,4,4,3,clion,clion debugger,Inspecting the execution by means of the debugger,AS,AS,,Yes,understand code logic,main,make hypothesis,convert,identify output generation,unit,limit scope of attack,number,identify points of attack,p,tamper with code statically,number,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,tictactoe-3.2.zip,70,35,35,0,1,1,3,vscode,vscode,Inspecting the execution by means of the debugger,AS,AS,,No,analyse attack result,check,build the attack strategy,check,evaluate and select alternative step / revise attack strategy,matrix,tamper with code statically,check,make hypothesis,check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,number-3.4.zip,70,5,65,0,1,4,4,CLion,LLDB embedded in CLion,Inspecting the execution by means of the debugger,AL,AL,,No,identify output generation,"main, convert(line)",identify output generation,"unit, number",understand code logic,Number ,limit scope of attack,"number, _6_number_next",make hypothesis on protection,Number,assess effort,Number ,choose path of least resistance,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
122,number-3.4.zip,70,25,40,5,1,3,3,CLion,gdb,Inspecting the execution by means of the debugger,AL,AL,,No,prepare the environment,,recognize anomalous / unexpected behavior,,identify output generation,unit,identify output generation,number,make hypothesis,main,understand code logic,unit,understand code logic,number,tamper with code statically,number,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,
151,number-3.4.zip,70,20,50,0,5,2,1,Codeblocks,Codeblocks debugger,Inspecting the execution by means of the debugger,AL,AL,,No,prepare the environment,,recognize anomalous / unexpected behavior,,recognize similarity with already analysed protected application,,reuse attack strategy that worked in the past,,tamper with code statically,"number(char const *p, int len)",tamper with data,rval,tamper with data,val,analyse attack result,,make hypothesis on reasons for attack failure,,,,,,,,,,,,,,,,,,,,,,,
98,number-3.4.zip,45,5,40,0,2,1,2,CLion,GDB,Inspecting the execution by means of the debugger,AL,AL,,Yes,prepare the environment,,identify output generation,,identify points of attack,,make hypothesis,,recognize anomalous / unexpected behavior,,recognize similarity with already analysed protected application,,reuse attack strategy that worked in the past,,limit scope of attack,number,make hypothesis,,understand code logic,,tamper with code statically,number,confirm hypothesis,,,,,,,,,,,,,,,,,
23,arithmetic-3.2.zip,70,60,10,0,2,3,4,XCode,XCode (IDE + debugger),Reading and understanding the source code,AL,AL,,No,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,It taked me a lot of time and I didn't understand the logic behind the behavior of the output,identify points of attack,"I spent most of the time trying to identify the source of the output problem (so also the points of attack), without succeding. I tryed to focus on case 6 of the _3_problem_next analysis ",tamper with code statically,"case 6, case 5, case 41",analyse attack result,,evaluate and select alternative step / revise attack strategy,,understand code logic,,,,,,,,,,,,,,,,,,,,,,,,,
10,arithmetic-3.3.zip,60,20,40,0,1,1,3,CodeBlocks,gdb,Inspecting the execution by means of the debugger,AL,AL,,Yes,identify output generation,,recognize anomalous / unexpected behavior,,make hypothesis,,control flow graph reconstruction,,reuse attack strategy that worked in the past,func problem(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,arithmetic-3.4.zip,70,50,20,0,1,5,5,Xcode,Integrated,Inspecting the execution by means of the debugger,AL,AL,,No,recognize anomalous / unexpected behavior,,understand code logic,,make hypothesis,,identify output generation,"encodeStrings_litStr8, encodeStrings_litStr7",make hypothesis,"_6_problem_next, _3_problem_next, op",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,arithmetic-3.2.zip,20,15,5,0,1,1,1,Clion 2019.1.4,Clion 2019.1.4,Reading and understanding the source code,AL,AL,,Yes,prepare the environment,,identify output generation,,recognize anomalous / unexpected behavior,,limit scope of attack,problem(),control flow graph reconstruction,,identify points of attack,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
84,arithmetic-3.4.zip,23,8,15,0,2,2,1,IntelliJclion,GDB,Inspecting the execution by means of the debugger,AL,AL,,Yes,prepare the environment,,understand code logic,main(),recognize anomalous / unexpected behavior,main(),build the attack strategy,result,limit scope of attack,problem,identify points of attack,temp___3,make hypothesis,temp___3,tamper with code statically,temp___3,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,
147,arithmetic-3.4.zip,27,4,20,3,1,1,1,CLion,Bundled GDB,Inspecting the execution by means of the debugger,AL,AL,,Yes,understand code logic,main,understand code logic,problem,tamper with code statically,case 171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,tictactoe-3.4.zip,65,20,45,0,4,3,3,Codeblocks,GDB,Changing the execution by means of the debugger,AL,AL,,No,understand code logic,char check(void),understand code logic,la matrice risultato,tamper with code statically,,analyse attack result,le modifiche che ho provato ad apportare non hanno portato a miglioramenti nel comportamento generale del programma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,number-3.4.zip,60,40,20,0,4,3,4,,gdb,Reading and understanding the source code,AL,AL,,No,recognize anomalous / unexpected behavior,,understand code logic,rval,tamper with code statically,number function ,identify output generation,val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,number-3.4.zip,35,5,30,0,1,2,2,clion,clion debugger,Inspecting the execution by means of the debugger,AL,AL,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,control flow graph reconstruction,,make hypothesis,about convert() method,control flow graph reconstruction,convert() method,make hypothesis,"about  unit(int len, char const *p) and number() methods",control flow graph reconstruction,about number(..) method,identify output generation," identify the printf(..) method (line 854, 855)",identify points of attack,find value 47,tamper with code statically,value 48 instead of value 47 at line 855,confirm hypothesis,,analyse attack result,,,,,,,,,,,,,,,,,
41,arithmetic-3.4.zip,70,15,55,0,1,3,5,CodeBlocks,gdb,Inspecting the execution by means of the debugger,AL,AL,,No,prepare the environment,,recognize anomalous / unexpected behavior,,reuse attack strategy that worked in the past,,understand code logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,tictactoe-3.3.zip,65,40,25,0,3,2,3,code block,gcc,Inspecting the execution by means of the debugger,AL,AL,,Yes,recognize anomalous / unexpected behavior,,understand code logic,,make hypothesis,,identify points of attack,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,tictactoe-3.4.zip,70,40,30,0,2,4,3,VisualStudioCode,gdb,Inspecting the execution by means of the debugger,AD,AD,,Yes,recognize anomalous / unexpected behavior,,identify assets by naming scheme,,understand code logic,check,make hypothesis,check,build the attack strategy,check,analyse attack result,check,identify points of attack,tmp,identify points of attack,tmp___0,tamper with code statically,tmp,evaluate and select alternative step / revise attack strategy,tmp,tamper with code statically,tmp___0,analyse attack result,,confirm hypothesis,,defeat protection,,,,,,,,,,,,,
67,number-3.4.zip,10,5,5,0,1,1,2,Xcode,Xcode default (gdb),Changing the execution by means of the debugger,AD,AD,,Yes,understand code logic,Switch inside number,limit scope of attack,only some statement of the swhich do effectivly something,make hypothesis,name1[(int const) *p - 47]);,tamper with code statically,,analyse attack result,name1[(int const) *p - 48]);,confirm hypothesis,name1[(int const) *p - 48]);,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,arithmetic-3.4.zip,50,15,35,0,1,5,5,Dev C++,GCC,Inspecting the execution by means of the debugger,AD,AD,,No,prepare the environment,Compile doesn't work for 20 minutes,limit scope of attack,analized function  problem,understand code logic,analysis of switch in function problem,recognize similarity with already analysed protected application,analysis of switch in function problem,reuse attack strategy that worked in the past,function problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,tictactoe-3.2.zip,25,5,20,0,1,1,1,Visual Studio Code,GDB,Inspecting the execution by means of the debugger,AD,AD,,Yes,understand code logic,"get_computer_move(), check() (functions)",identify points of attack,"check() (function), matrix[][] (variable)",tamper with code statically,check() (function),analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,tictactoe-3.4.zip,60,5,55,0,1,3,5,Codeblocks,Codeblocks,Inspecting the execution by means of the debugger,AD,AD,,Yes,recognize anomalous / unexpected behavior,check,make hypothesis,check ,tamper with code statically,,reuse attack strategy that worked in the past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,arithmetic-3.3.zip,70,30,40,0,1,2,4,codeblocks,gdb,Inspecting the execution by means of the debugger,AD,AD,,No,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,main,limit scope of attack,problem(),control flow graph reconstruction,,make hypothesis,,confirm hypothesis,result,build the attack strategy,,tamper with code statically,result,analyse attack result,,confirm hypothesis, _5_problem_next,,,,,,,,,,,,,,,,,,
111,number-3.3.zip,30,10,20,0,1,1,1,Clion,GDB,Inspecting the execution by means of the debugger,AD,AD,,Yes,prepare the environment,,identify output generation,,understand code logic,,recognize similarity with already analysed protected application,,reuse attack strategy that worked in the past,,make hypothesis,void convert(char *line);,limit scope of attack,void convert(char *line);,understand code logic,"int unit(int len, char const *p);",understand code logic,"int number(char const *p, int len);",recognize anomalous / unexpected behavior,char *name1[20];,tamper with code statically,char *name1[20];,analyse attack result,,,,,,,,,,,,,,,,,
50,number-3.3.zip,45,5,40,0,1,1,2,CodeBlocks,CodeBlocks,Inspecting the execution by means of the debugger,AD,AD,,Yes,recognize anomalous / unexpected behavior,,identify output generation,,understand code logic,"name1, p",tamper with code statically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,number-3.4.zip,35,10,23,2,1,1,2,xcode,lldb,Inspecting the execution by means of the debugger,AD,AD,,Yes,recognize anomalous / unexpected behavior,number,understand code logic,number,tamper with code statically,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,tictactoe-3.2.zip,15,5,10,0,1,1,2,Codeblocks,gdb,Inspecting the execution by means of the debugger,AD,AD,,Yes,prepare the environment,,identify output generation,,make hypothesis,,build the attack strategy,,identify points of attack,matrix,tamper with execution,check(),identify points of attack,check(),tamper with code statically,check(),analyse attack result,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,
77,tictactoe-3.3.zip,30,15,15,0,4,5,4,CodeBlocks,GDB through IDE,Inspecting the execution by means of the debugger,AD,,,Yes,prepare the environment,,understand code logic,,limit scope of attack,main() and check(),recognize similarity with already analysed protected application,check() --> switch ,tamper with code statically,check() and main(),confirm hypothesis,check(),,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,number-3.2.zip,30,15,15,0,5,5,5,cLion,LLDB 9.0,Inspecting the execution by means of the debugger,AD,,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,,make hypothesis,number,build workaround,number,confirm hypothesis,number,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,tictactoe-3.4.zip,64,10,54,0,1,1,3,Codeblocks,Debugger integrato in codeblock,Inspecting the execution by means of the debugger,AD,,,Yes,limit scope of attack,check,understand code logic,i ,recognize similarity with already analysed protected application,_5_check__opaque_array,tamper with data,tmp___0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,tictactoe-3.4.zip,20,18,2,0,1,1,3,code blocks,GNU GCC,Reading and understanding the source code,AD,,,Yes,recognize anomalous / unexpected behavior,,understand code logic,check,make hypothesis,check,bypass protection,check,overcome protection,matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,tictactoe-3.3.zip,70,60,10,0,1,1,3,CLion,CLion,Reading and understanding the source code,AM,AM,,Yes,prepare the environment,CLion,identify output generation,output,understand code logic,main(),limit scope of attack,check(),tamper with code statically,tmp,tamper with code statically,matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,arithmetic-3.4.zip,25,5,20,0,1,2,1,CodeBlocks,GDB,Changing the execution by means of the debugger,AM,AM,,Yes,understand code logic,,prepare the environment,,understand code logic,,limit scope of attack,problem,understand code logic,problem,tamper with code statically,problem,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,tictactoe-3.4.zip,68,8,55,5,1,3,4,DEV-C++,DEV-C++,Inspecting the execution by means of the debugger,AM,AM,yes,No,build workaround,(int) matrix[0][0] != 88,confirm hypothesis,,defeat protection,,limit scope of attack,Funzione check(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,number-3.4.zip,30,5,25,0,1,1,1,Clion,LLDB,Inspecting the execution by means of the debugger,AM,AM,,Yes,recognize anomalous / unexpected behavior,main,understand code logic,convert,make hypothesis,convert,reuse attack strategy that worked in the past,printf,confirm hypothesis,printf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,number-3.2.zip,30,5,25,0,1,1,1,codeblocks,gdb,Inspecting the execution by means of the debugger,AM,AM,yes,Yes,control flow graph reconstruction,"main, convert,unit,number executed step by step to understand control flow gaph of the application",understand code logic,"main, convert,unit,number functions",identify output generation,function number,make hypothesis on reasons for attack failure,,recognize anomalous / unexpected behavior” before the “analyse attack result”,,analyse attack result,main function,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,arithmetic-3.4.zip,70,20,50,0,2,5,5,Clion,Debugger integrato in Clion,Inspecting the execution by means of the debugger,AM,AM,,No,prepare the environment,Clion,recognize anomalous / unexpected behavior,,understand code logic,funzione main(),understand code logic,funzione main(),understand code logic,funzione problem(),identify points of attack,"variabili left, right, result",tamper with code statically,"variabili left, right, result",,,,,,,,,,,,,,,,,,,,,,,,,,
16,arithmetic-3.4.zip,55,10,45,0,4,4,3,CodeBlocks,GDB,Inspecting the execution by means of the debugger,AM,AM,,Yes,prepare the environment,,recognize similarity with already analysed protected application,,recognize anomalous / unexpected behavior,,identify output generation,problem(),understand code logic,main() and problem(),make hypothesis,,tamper with code statically,problem(),analyse attack result,,confirm hypothesis,problem(),,,,,,,,,,,,,,,,,,,,,,
4,number-3.2.zip,15,3,12,0,1,1,1,CLion,LLdb,Inspecting the execution by means of the debugger,AM,AM,yes,Yes,understand code logic,,make hypothesis,,confirm hypothesis,change a costant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,tictactoe-3.2.zip,50,10,40,0,1,1,2,Code::Blocks,MinGW,Changing the execution by means of the debugger,AM,AM,,Yes,recognize anomalous / unexpected behavior,,understand code logic,main,limit scope of attack,check,confirm hypothesis,check,identify points of attack,"tmp, tmp___0",tamper with code statically,"tmp, tmp__0",analyse attack result,,evaluate and select alternative step / revise attack strategy,,tamper with code statically,"main,check, tmp, tmp___0",analyse attack result,,,,,,,,,,,,,,,,,,,,,
58,arithmetic-3.2.zip,20,7,10,3,2,1,3,Visual Studio 2015,Visual Studio,Inspecting the execution by means of the debugger,AM,AM,,Yes,prepare the environment,,identify output generation,,recognize anomalous / unexpected behavior,,understand code logic,,limit scope of attack,"opnum(), tmp___3",tamper with code statically,"opnum(), result",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,arithmetic-3.3.zip,25,15,10,0,4,5,4,CodeBlocks,GDB,Inspecting the execution by means of the debugger,AM,AM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,output,make hypothesis,problem,understand code logic,problem,limit scope of attack,result,confirm hypothesis,result,tamper with code statically,result,analyse attack result,main,,,,,,,,,,,,,,,,,,,,,,,,
92,arithmetic-3.3.zip,40,9,30,1,1,1,1,CodeBlocks,yes,Inspecting the execution by means of the debugger,AM,AM,,Yes,prepare the environment,,understand code logic,,identify output generation,problem,make hypothesis,result,tamper with code statically,result,analyse attack result,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,arithmetic-3.4.zip,20,5,10,5,1,1,3,CLion,Cygwin GDB,Inspecting the execution by means of the debugger,AM,AM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,identify output generation,problem funciton,limit scope of attack,problem function,make hypothesis,problem function,tamper with code statically,problem function,analyse attack result,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,
29,number-3.4.zip,50,40,10,0,2,4,2,Codeblocks,Debugger integrato a codeblocks,Reading and understanding the source code,AM,AM,,No,understand code logic,intero codice,build the attack strategy,,identify output generation,,make hypothesis on protection,funz cnvert e char *p;,tamper with code statically,char *p,analyse attack result,,make hypothesis on reasons for attack failure,char *p,recognize similarity with already analysed protected application,Number() ,identify points of attack,number(),tamper with code statically,number(),analyse attack result,,make hypothesis on reasons for attack failure,,,,,,,,,,,,,,,,,
43,number-3.2.zip,15,5,10,0,1,1,1,Clion,,Inspecting the execution by means of the debugger,AM,AM,,Yes,recognize anomalous / unexpected behavior,,identify output generation,,understand code logic,,limit scope of attack,"name1, p ",tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,arithmetic-3.2.zip,40,10,30,0,3,3,3,CodeBlocks,gbd,Inspecting the execution by means of the debugger,DL,DL,Yes,Yes,tamper with code statically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,tictactoe-3.3.zip,50,20,30,0,2,2,3,Clion,gdb,Inspecting the execution by means of the debugger,DL,DL,,Yes,make hypothesis,matrix[][],tamper with execution,matrix[0][0],tamper with execution,matrix[i][0],tamper with code statically,tmp = (char) '0';,tamper with code statically,tmp___0 = (char) 'X';,analyse attack result,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,tictactoe-3.2.zip,70,2,65,3,1,3,3,Code::Blocks,GDB,Inspecting the execution by means of the debugger,DL,DL,,Yes,recognize anomalous / unexpected behavior,,prepare the environment,,understand code logic,,identify output generation,encoder,make hypothesis,check,limit scope of attack,check,tamper with code statically,matrix[0][i],recognize anomalous / unexpected behavior,,tamper with code statically,tmp___0,evaluate and select alternative step / revise attack strategy,,tamper with code statically,done,analyse attack result,,,,,,,,,,,,,,,,,
112,number-3.2.zip,50,10,35,5,2,1,2,DEV-C++,TDM-GCC 4.9.2 64 bit Debug,Inspecting the execution by means of the debugger,DL,DL,,Yes,recognize anomalous / unexpected behavior,convert,understand code logic,convert,understand code logic,unit,identify points of attack,number ,make hypothesis,name1,limit scope of attack,name1,confirm hypothesis,name1,tamper with code statically,convert,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,
1,tictactoe-3.4.zip,40,20,15,5,4,4,4,Xcode,gdb (integrated in IDE),Reading and understanding the source code,DL,DL,,Yes,recognize anomalous / unexpected behavior,,understand code logic,main(),assess effort,check(),tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,number-3.4.zip,70,10,60,0,1,5,5,CodeBlocks,GDB,Changing the execution by means of the debugger,DL,DL,,No,prepare the environment,,control flow graph reconstruction,,recognize anomalous / unexpected behavior,,identify output generation,,make hypothesis,number,tamper with code statically,rval,tamper with code statically,len,understand code logic,number,understand code logic,convert,make hypothesis,val,analyse attack result,,,,,,,,,,,,,,,,,,,
