ID,Period,AppZip,SUCCEEDED,TIME,TIME_IDE,TIME_DBG,TIME_SEARCH,TASK_CLEAR,ENOUGH_TIME,TASK_EASY,IDE,DBG,MAIN_ACTIVITY
72,2,number-2.2.zip,Yes,25,5,20,,1,1,2,Code::Blocks 17.12,gdb integrated in Code::Blocks,Changing the execution by means of the debugger
72,3,tictactoe-3.4.zip,Yes,55,15,45,,3,3,4,Code::Blocks 17.12,gdb integrated in Code:Blocks,Inspecting the execution by means of the debugger
73,2,tictactoe-2.4.zip,Yes,54,50,35,,1,1,1,Code::Blocks,gdb,Changing the execution by means of the debugger
73,3,number-3.3.zip,Yes,20,18,15,,1,1,1,Code::Blocks,gdb,Changing the execution by means of the debugger
74,2,tictactoe-2.4.zip,Yes,65,35,30,0,5,5,3,cLion,LLDB 9.0,Inspecting the execution by means of the debugger
74,3,number-3.2.zip,Yes,30,15,15,0,5,5,5,cLion,LLDB 9.0,Inspecting the execution by means of the debugger
75,2,tictactoe-2.3.zip,Yes,65,65,50,0,1,2,2,clion,clion debug,Inspecting the execution by means of the debugger
75,3,number-3.4.zip,Yes,27,26,23,0,1,2,2,clion,clion debugger,Inspecting the execution by means of the debugger
76,2,tictactoe-2.2.zip,Yes,40,5,35,0,2,2,3,CLion,GDB inside CLion,Inspecting the execution by means of the debugger
76,3,number-3.4.zip,Yes,45,3,42,0,1,2,2,CLion,GDB inside CLion,Inspecting the execution by means of the debugger
77,2,number-2.4.zip,No,70,45,20,0,2,2,2,CodeBlocks,GDB through IDE,Reading and understanding the source code
77,3,tictactoe-3.3.zip,Yes,34,15,15,0,4,5,4,CodeBlocks,GDB through IDE,Inspecting the execution by means of the debugger
78,2,number-2.4.zip,No,70,40,20,10,2,2,4,VScode & gcc,gdb with vscode,Inspecting the execution by means of the debugger
78,3,tictactoe-3.2.zip,Yes,65,15,50,0,1,1,2,VSCode con gcc,gdb su VSCode,Inspecting the execution by means of the debugger
79,2,arithmetic-2.3.zip,Yes,40,10,30,,1,3,3,CLion,CLion Integrated Debugger,Inspecting the execution by means of the debugger
79,3,tictactoe-3.4.zip,Yes,60,15,45,,3,3,3,CLion,CLion Integrated Debugger,Inspecting the execution by means of the debugger
80,2,arithmetic-2.2.zip,Yes,15,3,12,0,2,1,1,clion,Debug integrato nel IDE,Inspecting the execution by means of the debugger
80,3,tictactoe-3.4.zip,Yes,35,4,30,1,1,1,3,clion,clion debugger,Inspecting the execution by means of the debugger
81,2,tictactoe-2.4.zip,No,70,10,60,0,1,1,1,visual studio,Visual Studio,Inspecting the execution by means of the debugger
81,3,arithmetic-3.3.zip,No,70,12,58,0,1,2,2,Visual Studio,Visual Studio,Inspecting the execution by means of the debugger
82,2,tictactoe-2.4.zip,No,70,40,,0,1,2,2,Visual Studio Code,lldb,Inspecting the execution by means of the debugger
82,3,arithmetic-3.2.zip,No,70,35,30,5,2,1,3,Visual Studio Code,lldb,Inspecting the execution by means of the debugger
83,2,tictactoe-2.3.zip,No,70,60,30,2,2,3,3,Code:Blocks,60,Inspecting the execution by means of the debugger
83,3,arithmetic-3.4.zip,Yes,40,10,10,0,2,2,2,Code::Block 13.12,20,Reading and understanding the source code
84,2,tictactoe-2.2.zip,Yes,58,56,0,2,4,2,4,IntelliJClion,GDB,Reading and understanding the source code
84,3,arithmetic-3.4.zip,Yes,23,8,15,0,2,2,1,IntelliJclion,GDB,Inspecting the execution by means of the debugger
85,2,arithmetic-2.4.zip,Yes,65,65,55,10,5,4,3,Visual Studio 2019,Visual Studio 2019,Inspecting the execution by means of the debugger
85,3,tictactoe-3.3.zip,Yes,60,25,30,5,5,5,3,Visual Studio 2019,Visual Studio 2019,Inspecting the execution by means of the debugger
86,2,arithmetic-2.4.zip,Yes,70,5,60,5,3,2,1,Code::Blocks,GDB,Inspecting the execution by means of the debugger
86,3,tictactoe-3.2.zip,Yes,70,2,65,3,1,3,3,Code::Blocks,GDB,Inspecting the execution by means of the debugger
87,2,number-2.2.zip,Yes,40,20,50,,1,1,2,Visual Studio 2019,Visual Studio debugger,Inspecting the execution by means of the debugger
87,3,arithmetic-3.4.zip,No,70,10,60,,2,2,4,Visual Studio 2019,Visual Studio debugger,Inspecting the execution by means of the debugger
88,2,arithmetic-2.4.zip,No,70,20,50,,3,3,4,Clion,gdb,Inspecting the execution by means of the debugger
88,3,number-3.3.zip,No,70,20,50,,3,3,4,Clion,gdb,Inspecting the execution by means of the debugger
89,2,arithmetic-2.4.zip,No,70,70,60,,3,4,5,CLion,CLion Debugger,Inspecting the execution by means of the debugger
89,3,number-3.2.zip,Yes,33,30,20,1,1,1,3,CLion,CLion Debugger,Inspecting the execution by means of the debugger
90,2,arithmetic-2.3.zip,Yes,50,50 min,50 min,0 min,1,1,4,Clion,LLDB,Inspecting the execution by means of the debugger
90,3,number-3.4.zip,Yes,25,10,25,0,1,1,1,Clion,LLDB,Inspecting the execution by means of the debugger
91,2,arithmetic-2.2.zip,Yes,30,5,25,,5,5,4,Xcode,lldb,Inspecting the execution by means of the debugger
91,3,number-3.4.zip,Yes,35,10,23,2,1,1,2,xcode,lldb,Inspecting the execution by means of the debugger
92,2,number-2.4.zip,Yes,55,55,40,0,1,1,3,CodeBlocks,yes,Inspecting the execution by means of the debugger
92,3,arithmetic-3.3.zip,Yes,40,40,35,5,1,1,1,CodeBlocks,yes,Inspecting the execution by means of the debugger
93,2,number-2.4.zip,Yes,55,55,50,1,1,2,3,Visual Studio 2019,VS Debugger,Inspecting the execution by means of the debugger
93,3,arithmetic-3.2.zip,Yes,30,10,20,,1,1,2,Visual Studio 2019,VS Debugger,Inspecting the execution by means of the debugger
94,2,number-2.3.zip,Yes,40,40,40,10,1,3,4,Clion,gdb,Reading and understanding the source code
94,3,tictactoe-3.4.zip,No,55,55,40,0,4,3,5,Clion,gdb,Inspecting the execution by means of the debugger
95,2,number-2.2.zip,No,70,20,50,0,4,3,2,Eclipse,gdb,Inspecting the execution by means of the debugger
95,3,tictactoe-3.4.zip,No,70,20,50,0,4,2,2,CodeLite,gdb,Inspecting the execution by means of the debugger
96,2,tictactoe-2.4.zip,Yes,45,40,30,0,1,3,4,clion,integrated in c lion,Inspecting the execution by means of the debugger
96,3,number-3.3.zip,Yes,20,20,5,0,1,1,2,clion,integrated gdb,Reading and understanding the source code
97,2,tictactoe-2.4.zip,No,40,20,20,,2,2,1,CodeBlocks,gdb,Reading and understanding the source code
97,3,number-3.2.zip,Yes,50,10,40,,4,4,3,CodeBlocks,gdb,Inspecting the execution by means of the debugger
98,2,tictactoe-2.2.zip,Yes,65,7,58,,2,3,3,CLion,GDB,Inspecting the execution by means of the debugger
98,3,number-3.4.zip,Yes,45,5,40,0,2,1,2,CLion,GDB,Inspecting the execution by means of the debugger
99,2,number-2.4.zip,Yes,40,10,30,0,2,1,2,Clion,gcc,Inspecting the execution by means of the debugger
99,3,tictactoe-3.3.zip,Yes,50,20,30,0,2,2,3,Clion,gdb,Inspecting the execution by means of the debugger
100,2,number-2.4.zip,Yes,24,25,25,,1,1,3,Code Blocks,gdb,Inspecting the execution by means of the debugger
100,3,tictactoe-3.2.zip,No,70,50,20,,2,2,5,Code Blocks,gdb,Reading and understanding the source code
101,2,arithmetic-2.3.zip,Yes,25,12,12,0,3,4,3,clion,gdb,Inspecting the execution by means of the debugger
101,3,tictactoe-3.4.zip,Yes,65,25,25,10,3,2,1,clion,gdb,Inspecting the execution by means of the debugger
102,2,arithmetic-2.2.zip,Yes,50,50,45,0,1,1,1,Code Blocks,Gdb,Inspecting the execution by means of the debugger
102,3,tictactoe-3.4.zip,Yes,70,5,45,0,1,1,2,Code Blocks,gdb,Inspecting the execution by means of the debugger
103,2,tictactoe-2.4.zip,No,50,50,40,0,1,2,3,codeblocks,gdb,Inspecting the execution by means of the debugger
103,3,arithmetic-3.3.zip,No,70,30,40,0,1,2,4,codeblocks,gdb,Inspecting the execution by means of the debugger
104,2,tictactoe-2.4.zip,No,60,60,60,0,1,3,4,Clion,cygwin,Inspecting the execution by means of the debugger
104,3,arithmetic-3.2.zip,Yes,27,10,17,0,1,1,3,Clion,cygwin,Inspecting the execution by means of the debugger
105,2,tictactoe-2.3.zip,Yes,70,70,60,0,1,3,3,CodeBlocks,GCC GNU,Inspecting the execution by means of the debugger
105,3,arithmetic-3.4.zip,No,70,2,68,0,1,3,5,Codeblocks,GNU GCC,Inspecting the execution by means of the debugger
106,2,tictactoe-2.2.zip,Yes,56,23,30,3,1,1,2,VisualStudio code,gdb,Inspecting the execution by means of the debugger
106,3,arithmetic-3.4.zip,No,70,60,5,5,2,4,4,Visual Studio code,gdb,Reading and understanding the source code
107,2,arithmetic-2.4.zip,No,70,40,30,0,2,4,5,CLion,CLion,Reading and understanding the source code
107,3,tictactoe-3.3.zip,Yes,70,60,10,0,1,1,3,CLion,CLion,Reading and understanding the source code
108,2,arithmetic-2.4.zip,No,70,30,40,0,2,5,5,vscode,vscode,Inspecting the execution by means of the debugger
108,3,tictactoe-3.2.zip,No,70,35,35,,1,1,3,vscode,vscode,Inspecting the execution by means of the debugger
109,2,number-2.3.zip,No,60,60,55,,4,2,1,Vs code,gdb,Reading and understanding the source code
109,3,arithmetic-3.4.zip,No,65,10,60,,5,2,1,VsCode,GDB,Inspecting the execution by means of the debugger
110,2,number-2.2.zip,Yes,45,40,,5,1,1,2,CodeBlocks,,Changing the execution by means of the debugger
110,3,arithmetic-3.4.zip,Yes,25,5,20,,1,2,1,CodeBlocks,GDB,Changing the execution by means of the debugger
111,2,arithmetic-2.4.zip,Yes,35,15,20,0,1,1,2,Clion,GDB,Inspecting the execution by means of the debugger
111,3,number-3.3.zip,Yes,30,10,20,0,1,1,1,Clion,GDB,Inspecting the execution by means of the debugger
112,2,arithmetic-2.4.zip,No,70,70,60,0,2,3,4,DEV-C++,TDM-GCC 4.9.2 64 bit Debug,Inspecting the execution by means of the debugger
112,3,number-3.2.zip,Yes,50,10,35,5,2,1,2,DEV-C++,TDM-GCC 4.9.2 64 bit Debug,Inspecting the execution by means of the debugger
113,2,arithmetic-2.3.zip,No,70,60,10,0,4,2,4,,,Reading and understanding the source code
113,3,number-3.4.zip,No,60,40,20,0,4,3,4,,gdb,Reading and understanding the source code
114,2,arithmetic-2.2.zip,Yes,40,40,40,0,1,1,2,CLION,GDB,Inspecting the execution by means of the debugger
114,3,number-3.4.zip,Yes,30,15,35,0,1,1,2,CLION,GDB,Inspecting the execution by means of the debugger
